#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
9.866,295.2,47.84,330.1,504.4,164.7,760.2,639.8,346.1,689.5,465.8
9.933,295.3,48.08,329.9,504.2,164.6,760.1,639.3,345.4,688.9,465.0
9.999,295.2,48.25,330.5,505.3,164.4,760.8,638.5,343.9,688.2,465.0
10.066,293.7,46.74,330.9,505.8,163.3,761.2,637.2,343.4,687.7,465.3
10.133,294.1,46.81,329.4,506.1,163.2,760.9,638.0,344.9,688.2,464.7
10.199,293.8,46.99,330.5,506.1,161.7,761.7,637.7,344.9,687.7,464.8
10.266,294.3,47.44,331.7,506.0,161.9,762.6,637.3,344.0,687.8,463.9
10.333,293.2,47.99,331.2,505.3,162.1,763.3,637.8,343.8,688.3,464.7
10.399,291.8,47.62,330.1,504.1,161.5,763.0,637.9,343.9,688.8,463.8
10.466,290.9,47.53,329.8,505.0,161.0,761.9,638.6,342.8,689.5,462.9
10.533,291.3,48.95,329.5,504.8,161.8,761.1,638.0,343.1,689.2,462.9
10.599,290.7,48.16,328.7,505.2,161.2,760.8,637.9,343.4,689.2,461.7
10.666,290.7,47.82,330.1,503.7,160.9,759.9,638.9,342.0,689.4,462.0
10.733,291.5,47.22,329.8,504.1,160.7,760.3,637.3,342.8,689.2,461.8
10.799,291.4,47.05,329.3,503.8,160.8,760.0,636.8,342.3,689.2,461.6
10.866,290.6,46.14,329.1,503.6,161.4,759.8,635.8,340.6,688.9,460.7
10.933,290.7,46.05,328.9,504.0,160.1,760.7,635.5,340.9,689.7,461.7
10.999,291.5,45.80,328.7,504.0,158.6,761.0,635.6,340.7,690.5,463.3
11.066,292.1,46.17,328.8,503.8,159.6,761.3,635.5,340.7,690.4,463.8
11.133,291.3,46.04,329.1,504.4,158.9,761.7,635.0,341.1,691.0,464.0
11.199,291.4,47.11,328.8,504.8,159.0,760.9,635.8,340.8,691.3,463.6
11.266,291.3,46.39,327.8,506.0,158.8,759.9,635.5,343.1,691.4,464.0
11.333,291.3,46.30,328.3,506.6,157.8,759.0,635.6,342.2,692.0,465.1
11.399,292.3,46.24,329.5,507.3,156.9,758.4,635.5,341.6,692.8,464.1
11.466,291.6,45.56,329.4,507.1,157.4,757.6,636.6,341.4,693.2,463.6
11.533,292.0,45.77,327.5,506.2,157.0,758.5,635.6,340.2,693.2,463.0
11.599,292.1,46.28,328.1,506.3,156.4,758.4,634.3,340.6,692.7,462.5
11.666,291.3,46.05,328.0,505.8,156.6,758.1,634.5,341.3,692.6,460.3
11.733,291.6,46.19,329.2,505.6,156.3,758.7,634.5,340.4,691.9,461.2
11.799,292.5,46.19,328.7,505.7,156.9,758.2,633.6,339.6,692.9,460.6
11.866,292.5,45.61,327.9,504.7,156.6,758.9,632.8,340.3,693.1,461.3
11.933,293.1,44.77,327.2,504.0,157.3,758.9,632.8,340.3,693.1,460.9
11.999,293.0,44.31,327.7,504.1,157.4,758.3,631.2,339.0,693.2,460.3
12.066,294.1,44.02,327.3,503.9,156.1,758.2,632.1,338.5,692.8,458.4
12.133,294.1,43.95,326.9,504.0,155.5,758.0,632.9,339.8,693.0,459.1
12.199,293.4,43.94,326.5,502.1,155.8,759.3,632.2,340.6,692.4,458.1
12.266,293.0,44.18,328.5,500.5,156.4,759.4,632.7,341.7,691.7,458.2
12.333,293.0,44.12,327.9,501.1,155.5,758.7,633.7,341.1,692.2,458.2
12.399,293.2,44.17,328.1,501.0,155.1,757.4,633.3,340.4,692.6,458.3
12.466,294.4,44.23,328.8,501.8,155.7,755.6,633.6,340.4,691.6,458.3
12.532,294.9,44.12,330.1,500.7,157.3,755.6,632.6,340.2,692.8,457.5
12.599,294.1,43.76,329.4,501.8,156.3,755.9,631.2,338.9,691.1,458.3
12.666,293.8,44.64,329.1,502.0,156.1,755.6,631.4,339.5,690.8,457.8
12.732,293.9,45.73,329.2,501.8,157.6,755.6,631.4,339.0,691.6,458.4
12.799,294.7,46.17,330.9,503.0,158.9,754.4,630.8,337.9,691.8,458.1
12.866,295.7,46.07,331.3,502.7,159.5,753.9,630.6,338.3,691.5,458.8
12.932,295.7,45.02,330.5,503.9,159.7,754.9,629.3,336.6,691.3,457.7
12.999,296.3,45.29,330.4,504.7,159.3,753.8,630.4,336.4,690.9,457.6
13.066,296.1,45.12,329.5,505.5,157.6,753.4,630.8,337.1,691.1,457.4
13.132,295.7,44.93,328.5,506.2,158.7,752.6,630.1,336.2,689.8,457.4
13.199,296.0,44.76,329.4,505.2,159.7,752.0,630.9,336.9,689.4,457.8
13.266,296.3,45.89,329.1,504.1,159.1,752.7,631.0,337.3,688.3,457.7
13.332,296.2,46.29,328.3,504.1,159.1,753.1,631.8,336.7,687.4,457.0
13.399,296.1,45.93,327.5,504.0,160.4,753.0,631.5,336.4,687.2,456.8
13.466,295.4,46.07,325.4,503.6,159.8,752.5,632.7,335.9,688.4,456.3
13.532,295.1,46.19,325.2,502.7,158.6,751.9,633.4,335.6,689.2,455.8
13.599,295.2,46.05,324.8,503.3,159.1,751.5,633.5,335.4,689.3,456.2
13.666,294.9,45.80,324.1,503.2,158.6,750.8,633.8,336.7,689.6,456.9
13.732,295.8,46.21,323.5,502.6,158.2,749.6,633.6,337.6,690.3,456.9
13.799,294.7,45.85,323.7,503.3,157.9,749.1,633.3,338.1,690.6,458.1
13.866,295.1,46.06,323.8,502.5,156.9,748.1,632.9,335.5,691.1,458.0
