#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,,masa F,,masa G,,masa H,,masa I,
t,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
3.266449E0,-4.601711E2,-4.135902E1,-4.177037E2,-1.598452E2,-1.378254E2,-3.578047E2,3.145748E2,-2.661813E2,9.552076E1,1.122427E2,1.401104E2,-6.939981E1,2.217473E2,-3.353633E2,5.800396E2,5.370869E1,1.409856E2,-2.426592E2
3.333111E0,-4.607023E2,-3.915968E1,-4.174825E2,-1.602945E2,-1.383747E2,-3.582025E2,3.146317E2,-2.682446E2,9.564773E1,1.116465E2,1.404477E2,-6.943918E1,2.219142E2,-3.345916E2,5.802876E2,5.139067E1,1.420735E2,-2.406949E2
3.399773E0,-4.621931E2,-4.099579E1,-4.189156E2,-1.588633E2,-1.380432E2,-3.573314E2,3.144656E2,-2.641247E2,9.531084E1,1.120043E2,1.400036E2,-6.949092E1,2.237661E2,-3.352128E2,5.798511E2,5.166808E1,1.408074E2,-2.409838E2
3.466436E0,-4.624527E2,-4.120679E1,-4.195304E2,-1.592469E2,-1.375778E2,-3.566362E2,3.146657E2,-2.640400E2,9.527736E1,1.120889E2,1.400939E2,-6.963485E1,2.241039E2,-3.348654E2,5.804833E2,5.010980E1,1.422151E2,-2.400582E2
3.533098E0,-4.608776E2,-4.094561E1,-4.186248E2,-1.600157E2,-1.375336E2,-3.569156E2,3.142851E2,-2.636406E2,9.726164E1,1.122489E2,1.402023E2,-6.987394E1,2.236594E2,-3.350842E2,5.803036E2,5.032364E1,1.428084E2,-2.403628E2
3.599760E0,-4.605191E2,-4.266295E1,-4.200664E2,-1.584309E2,-1.378721E2,-3.570503E2,3.190000E2,-2.625000E2,9.702352E1,1.124075E2,1.400916E2,-6.946923E1,2.240558E2,-3.348981E2,5.800384E2,5.059035E1,1.425653E2,-2.409788E2
3.666422E0,-4.577527E2,-4.666028E1,-4.206393E2,-1.571689E2,-1.380916E2,-3.571946E2,3.188731E2,-2.623824E2,9.746185E1,1.119740E2,1.401149E2,-6.958328E1,2.235433E2,-3.367805E2,5.792218E2,5.112737E1,1.429748E2,-2.404443E2
3.733084E0,-4.573077E2,-4.728853E1,-4.203287E2,-1.565325E2,-1.364355E2,-3.571622E2,3.155000E2,-2.610000E2,9.747884E1,1.122936E2,1.398688E2,-6.983073E1,2.236130E2,-3.370221E2,5.805007E2,5.136454E1,1.427145E2,-2.401283E2
3.799747E0,-4.595848E2,-4.882867E1,-4.203934E2,-1.569834E2,-1.342469E2,-3.569370E2,3.190000E2,-2.550000E2,9.867695E1,1.118021E2,1.410941E2,-6.875759E1,2.242570E2,-3.369318E2,5.794767E2,5.124121E1,1.440089E2,-2.416900E2
3.866409E0,-4.613043E2,-4.892062E1,-4.207451E2,-1.557306E2,-1.337846E2,-3.568999E2,3.270000E2,-2.580000E2,9.942311E1,1.126678E2,1.409050E2,-6.851861E1,2.239070E2,-3.366976E2,5.788431E2,5.073021E1,1.451962E2,-2.415921E2
3.933071E0,-4.616381E2,-4.881173E1,-4.205704E2,-1.558755E2,-1.340175E2,-3.580429E2,3.254548E2,-2.559248E2,9.750632E1,1.133786E2,1.398081E2,-6.957504E1,2.240869E2,-3.372181E2,5.788932E2,5.000141E1,1.435078E2,-2.418972E2
3.999733E0,-4.607297E2,-4.974141E1,-4.204936E2,-1.542428E2,-1.342503E2,-3.580773E2,3.270000E2,-2.580365E2,9.688023E1,1.122536E2,1.397932E2,-6.986584E1,2.241719E2,-3.371728E2,5.790875E2,5.046591E1,1.435706E2,-2.413980E2
4.066396E0,-4.622403E2,-4.983535E1,-4.203152E2,-1.539338E2,-1.341244E2,-3.581640E2,3.266458E2,-2.561206E2,9.678497E1,1.119731E2,1.398598E2,-6.951454E1,2.235697E2,-3.357554E2,5.806136E2,4.870940E1,1.431256E2,-2.413638E2
4.133058E0,-4.649884E2,-4.980903E1,-4.185734E2,-1.546489E2,-1.340772E2,-3.561858E2,3.274664E2,-2.557695E2,9.461710E1,1.115145E2,1.398938E2,-6.977821E1,2.242407E2,-3.370552E2,5.810800E2,4.685164E1,1.437656E2,-2.415334E2
4.199720E0,-4.622694E2,-4.828795E1,-4.164926E2,-1.567454E2,-1.338430E2,-3.557987E2,3.274101E2,-2.560640E2,9.417807E1,1.127136E2,1.422064E2,-6.924824E1,2.241076E2,-3.369623E2,5.809518E2,4.623729E1,1.434340E2,-2.419548E2
4.266382E0,-4.623837E2,-4.794704E1,-4.163453E2,-1.613828E2,-1.340951E2,-3.558980E2,3.252527E2,-2.578657E2,9.628640E1,1.164380E2,1.421987E2,-6.951530E1,2.239573E2,-3.369637E2,5.811258E2,4.605557E1,1.418881E2,-2.397872E2
4.333044E0,-4.614415E2,-4.905916E1,-4.162456E2,-1.609624E2,-1.338141E2,-3.560432E2,3.248475E2,-2.583665E2,9.669302E1,1.159806E2,1.417321E2,-6.979615E1,2.239299E2,-3.370353E2,5.814748E2,4.397022E1,1.396519E2,-2.406387E2
4.399707E0,-4.612587E2,-4.692223E1,-4.164501E2,-1.605638E2,-1.336209E2,-3.556170E2,3.231686E2,-2.596706E2,9.649232E1,1.160527E2,1.401551E2,-6.941948E1,2.240382E2,-3.371352E2,5.809192E2,4.342456E1,1.374063E2,-2.396646E2
4.466369E0,-4.625966E2,-4.594463E1,-4.164073E2,-1.602553E2,-1.357494E2,-3.562660E2,3.232152E2,-2.600063E2,9.458821E1,1.162846E2,1.416105E2,-6.957709E1,2.240070E2,-3.369164E2,5.792583E2,4.160750E1,1.372359E2,-2.397423E2
4.533031E0,-4.641866E2,-4.597119E1,-4.174103E2,-1.575222E2,-1.361000E2,-3.562603E2,3.228889E2,-2.602198E2,9.170925E1,1.159467E2,1.435014E2,-6.968805E1,2.223890E2,-3.371240E2,5.783731E2,4.211617E1,1.390850E2,-2.394901E2
4.599693E0,-4.646891E2,-4.606117E1,-4.173628E2,-1.578370E2,-1.361787E2,-3.562821E2,3.275000E2,-2.635000E2,9.163206E1,1.158366E2,1.442432E2,-6.958369E1,2.218393E2,-3.368639E2,5.792509E2,4.070566E1,1.385285E2,-2.396477E2
4.666356E0,-4.640592E2,-4.635517E1,-4.178906E2,-1.565205E2,-1.355704E2,-3.577897E2,3.275989E2,-2.633174E2,9.136780E1,1.176026E2,1.441522E2,-6.970492E1,2.231324E2,-3.379715E2,5.785656E2,3.984480E1,1.381384E2,-2.375453E2
4.733018E0,-4.710000E2,-4.800000E1,-4.168320E2,-1.558380E2,-1.359209E2,-3.562253E2,3.277745E2,-2.635572E2,9.104667E1,1.180717E2,1.440018E2,-6.885153E1,2.247730E2,-3.381631E2,5.786851E2,3.976271E1,1.385566E2,-2.364323E2
4.799680E0,-4.709857E2,-4.809320E1,-4.170082E2,-1.558483E2,-1.342771E2,-3.578988E2,3.290881E2,-2.656295E2,9.150603E1,1.182497E2,1.443954E2,-6.849800E1,2.246092E2,-3.378453E2,5.774747E2,3.934605E1,1.386432E2,-2.368616E2
4.866342E0,-4.711683E2,-4.711409E1,-4.174278E2,-1.559383E2,-1.319543E2,-3.597654E2,3.298036E2,-2.652878E2,9.137071E1,1.186750E2,1.437525E2,-6.812331E1,2.250629E2,-3.379738E2,5.789591E2,4.125670E1,1.386991E2,-2.376496E2
4.933004E0,-4.707295E2,-4.669130E1,-4.170470E2,-1.584625E2,-1.327727E2,-3.607233E2,3.172313E2,-2.856448E2,9.156941E1,1.190727E2,1.439858E2,-6.871876E1,2.271377E2,-3.383595E2,5.767521E2,4.190965E1,1.384474E2,-2.376079E2
4.999667E0,-4.707585E2,-4.682252E1,-4.175960E2,-1.561982E2,-1.326909E2,-3.610855E2,3.191401E2,-2.848544E2,9.168662E1,1.188697E2,1.436725E2,-6.862269E1,2.271332E2,-3.392804E2,5.770575E2,4.143379E1,1.403664E2,-2.374869E2
5.066329E0,-4.711398E2,-4.730424E1,-4.170065E2,-1.565772E2,-1.332327E2,-3.590303E2,3.193391E2,-2.827585E2,8.972389E1,1.172462E2,1.442779E2,-6.825231E1,2.271475E2,-3.392069E2,5.779675E2,4.079004E1,1.404610E2,-2.377991E2
5.132991E0,-4.709439E2,-4.715733E1,-4.163087E2,-1.589727E2,-1.329971E2,-3.589272E2,3.182526E2,-2.805034E2,8.945044E1,1.185831E2,1.440708E2,-6.838809E1,2.262997E2,-3.389512E2,5.793277E2,3.925051E1,1.402946E2,-2.356367E2
5.199653E0,-4.706480E2,-4.784989E1,-4.163017E2,-1.591364E2,-1.329673E2,-3.589255E2,3.182456E2,-2.809500E2,8.969157E1,1.181492E2,1.438040E2,-6.863796E1,2.259653E2,-3.388532E2,5.790377E2,3.990450E1,1.396915E2,-2.355343E2
5.266316E0,-4.706951E2,-4.736698E1,-4.165407E2,-1.588538E2,-1.323004E2,-3.608252E2,3.187614E2,-2.801049E2,8.755461E1,1.143475E2,1.440852E2,-6.875331E1,2.261986E2,-3.391852E2,5.789897E2,4.104036E1,1.405000E2,-2.440000E2
5.332978E0,-4.711952E2,-4.720349E1,-4.163398E2,-1.605414E2,-1.319623E2,-3.618540E2,3.180000E2,-2.770000E2,8.584473E1,1.126483E2,1.422671E2,-6.842641E1,2.260486E2,-3.389956E2,5.789351E2,4.141762E1,1.396687E2,-2.440833E2
5.399640E0,-4.687629E2,-4.651737E1,-4.171440E2,-1.617472E2,-1.321196E2,-3.622287E2,3.181737E2,-2.770046E2,8.363870E1,1.130336E2,1.414428E2,-6.886397E1,2.243664E2,-3.387263E2,5.791083E2,4.166069E1,1.411804E2,-2.442558E2
5.466302E0,-4.684658E2,-4.878199E1,-4.150712E2,-1.619869E2,-1.303735E2,-3.619858E2,3.177887E2,-2.771188E2,8.329620E1,1.152086E2,1.409412E2,-6.888775E1,2.241611E2,-3.390101E2,5.799397E2,4.159879E1,1.408052E2,-2.441120E2
5.532964E0,-4.686181E2,-4.976291E1,-4.159178E2,-1.622564E2,-1.291103E2,-3.640174E2,3.184071E2,-2.769083E2,8.374278E1,1.136394E2,1.417178E2,-6.832383E1,2.244031E2,-3.389790E2,5.799671E2,4.162485E1,1.423847E2,-2.443589E2
5.599627E0,-4.691316E2,-4.811172E1,-4.175766E2,-1.628749E2,-1.294872E2,-3.624160E2,3.270000E2,-2.830000E2,8.339214E1,1.158219E2,1.422581E2,-6.838902E1,2.232657E2,-3.401019E2,5.803477E2,4.124211E1,1.423866E2,-2.465956E2
5.666289E0,-4.687473E2,-4.791052E1,-4.170962E2,-1.648966E2,-1.291701E2,-3.622099E2,3.274083E2,-2.826387E2,8.438559E1,1.152442E2,1.419171E2,-6.845079E1,2.230911E2,-3.400437E2,5.818559E2,4.124268E1,1.424328E2,-2.475253E2
5.732951E0,-4.686245E2,-4.660493E1,-4.176839E2,-1.648695E2,-1.385000E2,-3.615000E2,3.253003E2,-2.828967E2,8.431395E1,1.159552E2,1.421527E2,-6.861692E1,2.227589E2,-3.397705E2,5.839820E2,4.152236E1,1.422866E2,-2.491052E2
5.799613E0,-4.689079E2,-4.567380E1,-4.170268E2,-1.634953E2,-1.385000E2,-3.615000E2,3.244687E2,-2.829937E2,8.646065E1,1.178972E2,1.423071E2,-6.859393E1,2.231193E2,-3.389944E2,5.857480E2,4.180315E1,1.443833E2,-2.502247E2
5.866276E0,-4.702442E2,-4.618742E1,-4.172454E2,-1.628691E2,-1.370000E2,-3.650000E2,3.237626E2,-2.812479E2,8.606456E1,1.188979E2,1.418677E2,-6.852147E1,2.211796E2,-3.383277E2,5.859019E2,4.161684E1,1.437308E2,-2.476428E2
5.932938E0,-4.693412E2,-4.584035E1,-4.178138E2,-1.633115E2,-1.420000E2,-3.645000E2,3.267532E2,-2.809261E2,8.625912E1,1.192570E2,1.421919E2,-6.838202E1,2.209226E2,-3.388866E2,5.860014E2,3.978119E1,1.415372E2,-2.459855E2
5.999600E0,-4.689935E2,-4.607952E1,-4.173745E2,-1.615419E2,-1.405000E2,-3.640000E2,3.266679E2,-2.810799E2,8.658157E1,1.183828E2,1.418562E2,-6.866958E1,2.206886E2,-3.389129E2,5.862318E2,3.708077E1,1.415743E2,-2.476273E2
6.066262E0,-4.687395E2,-4.357305E1,-4.170881E2,-1.622598E2,-1.240000E2,-3.800000E2,3.269911E2,-2.811549E2,8.648934E1,1.164436E2,1.421890E2,-6.880633E1,2.211942E2,-3.391011E2,5.858954E2,3.756239E1,1.415592E2,-2.496112E2
6.132924E0,-4.690387E2,-4.116824E1,-4.187532E2,-1.618919E2,-1.375000E2,-3.630000E2,3.259889E2,-2.811068E2,8.615687E1,1.172400E2,1.418549E2,-6.859085E1,2.223730E2,-3.382177E2,5.840169E2,3.574207E1,1.413285E2,-2.504328E2
6.199587E0,-4.679996E2,-4.056011E1,-4.179370E2,-1.609886E2,-1.274236E2,-3.648801E2,3.243258E2,-2.789250E2,8.684080E1,1.169748E2,1.419131E2,-6.865098E1,2.217595E2,-3.376963E2,5.825573E2,3.557996E1,1.415676E2,-2.498780E2
6.266249E0,-4.680104E2,-4.053132E1,-4.183053E2,-1.618472E2,-1.267324E2,-3.632340E2,3.240105E2,-2.796405E2,8.837079E1,1.170125E2,1.417776E2,-6.854596E1,2.221743E2,-3.398647E2,5.832003E2,3.543977E1,1.417098E2,-2.498477E2
