#multi:
,masa A,,masa B,,masa C,,masa D,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
8.659999999999996589e-01,3.848000000000000114e+02,5.162000000000000455e+02,7.842000000000000455e+02,1.925000000000000000e+02,6.522999999999999545e+02,9.283999999999999773e+02,5.439000000000000057e+01,6.876999999999999602e+01
9.329999999999998295e-01,3.845000000000000000e+02,5.166000000000000227e+02,7.842000000000000455e+02,1.924000000000000057e+02,6.522999999999999545e+02,9.287999999999999545e+02,5.438000000000000256e+01,6.918999999999999773e+01
9.989999999999952252e-01,3.848000000000000114e+02,5.165000000000000000e+02,7.842999999999999545e+02,1.925000000000000000e+02,6.527999999999999545e+02,9.292000000000000455e+02,5.411999999999999744e+01,6.962000000000000455e+01
1.065999999999995396e+00,3.853000000000000114e+02,5.163999999999999773e+02,7.842000000000000455e+02,1.930999999999999943e+02,6.530000000000000000e+02,9.296000000000000227e+02,5.436999999999999744e+01,6.928000000000000114e+01
1.132999999999995566e+00,3.856000000000000227e+02,5.163999999999999773e+02,7.838999999999999773e+02,1.935000000000000000e+02,6.531000000000000227e+02,9.298999999999999773e+02,5.396999999999999886e+01,6.876000000000000512e+01
1.198999999999998067e+00,3.856000000000000227e+02,5.167000000000000455e+02,7.837000000000000455e+02,1.934000000000000057e+02,6.532000000000000455e+02,9.300000000000000000e+02,5.378000000000000114e+01,6.812999999999999545e+01
1.265999999999998238e+00,3.856000000000000227e+02,5.168999999999999773e+02,7.838999999999999773e+02,1.935999999999999943e+02,6.537000000000000455e+02,9.292000000000000455e+02,5.372999999999999687e+01,6.818999999999999773e+01
1.332999999999998408e+00,3.853999999999999773e+02,5.176000000000000227e+02,7.837999999999999545e+02,1.935000000000000000e+02,6.538999999999999773e+02,9.291000000000000227e+02,5.375000000000000000e+01,6.848000000000000398e+01
1.399000000000000909e+00,3.858999999999999773e+02,5.173999999999999773e+02,7.837000000000000455e+02,1.935000000000000000e+02,6.541000000000000227e+02,9.292000000000000455e+02,5.336999999999999744e+01,6.859000000000000341e+01
1.466000000000001080e+00,3.855000000000000000e+02,5.173999999999999773e+02,7.836000000000000227e+02,1.931999999999999886e+02,6.537999999999999545e+02,9.291000000000000227e+02,5.364000000000000057e+01,6.815000000000000568e+01
1.533000000000001251e+00,3.858999999999999773e+02,5.172999999999999545e+02,7.837999999999999545e+02,1.931999999999999886e+02,6.540000000000000000e+02,9.288999999999999773e+02,5.399000000000000199e+01,6.818999999999999773e+01
1.598999999999996646e+00,3.853999999999999773e+02,5.175000000000000000e+02,7.836000000000000227e+02,1.934000000000000057e+02,6.540000000000000000e+02,9.292999999999999545e+02,5.370000000000000284e+01,6.823000000000000398e+01
1.665999999999996817e+00,3.856000000000000227e+02,5.172999999999999545e+02,7.835000000000000000e+02,1.935000000000000000e+02,6.540000000000000000e+02,9.292999999999999545e+02,5.386999999999999744e+01,6.828000000000000114e+01
1.732999999999996987e+00,3.860000000000000000e+02,5.172000000000000455e+02,7.823999999999999773e+02,1.934000000000000057e+02,6.540000000000000000e+02,9.287999999999999545e+02,5.400999999999999801e+01,6.793999999999999773e+01
1.798999999999999488e+00,3.853999999999999773e+02,5.177999999999999545e+02,7.820000000000000000e+02,1.935000000000000000e+02,6.540000000000000000e+02,9.291000000000000227e+02,5.432999999999999829e+01,6.756000000000000227e+01
1.865999999999999659e+00,3.856000000000000227e+02,5.172999999999999545e+02,7.810000000000000000e+02,1.929000000000000057e+02,6.538999999999999773e+02,9.292000000000000455e+02,5.400999999999999801e+01,6.753000000000000114e+01
