#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
7.333,679.7,969.3,214.1,649.9,126.3,420.1,835.5,600.9,828.4,68.21
7.400,679.1,968.4,215.3,649.7,125.4,420.1,835.2,600.9,828.3,68.99
7.466,679.4,967.1,214.8,649.1,125.4,421.7,834.1,600.8,828.3,68.11
7.533,679.7,966.3,217.0,648.9,125.1,422.5,833.5,599.7,828.3,67.89
7.599,680.9,965.3,216.9,649.1,124.7,422.4,833.7,599.6,828.9,69.04
7.666,681.7,965.7,216.8,648.9,125.3,423.3,834.5,601.0,829.1,68.18
7.733,682.3,966.4,216.9,648.8,124.8,424.2,833.2,600.6,830.1,68.11
7.799,683.7,965.6,217.4,649.0,124.2,424.6,832.1,600.8,830.4,66.37
7.866,683.5,965.2,217.5,648.6,124.3,424.7,832.2,599.8,829.6,65.93
7.933,684.4,963.5,218.9,649.9,123.9,424.8,832.1,599.0,829.7,65.58
7.999,684.1,964.0,219.1,649.8,122.8,424.4,832.3,600.0,829.0,65.70
8.066,684.1,963.1,219.6,649.6,122.3,424.1,832.8,601.2,829.3,66.23
8.133,684.3,963.5,220.5,650.2,121.7,423.9,832.7,602.4,829.0,66.88
8.199,684.2,963.8,220.2,650.0,122.4,424.1,831.8,603.8,828.1,67.14
8.266,685.0,964.1,219.9,649.8,122.2,425.5,833.2,604.5,828.1,68.00
8.333,685.2,964.3,220.5,649.7,122.6,425.6,833.2,605.3,829.3,68.66
8.399,683.9,964.3,220.6,650.6,122.1,424.8,831.8,604.1,829.0,68.08
8.466,683.8,963.7,221.0,652.2,123.0,423.5,832.9,603.1,829.4,68.52
8.533,684.5,964.1,219.6,652.7,123.3,423.9,833.2,602.7,830.2,68.50
8.599,684.7,964.8,219.3,653.4,123.3,424.6,834.7,603.2,832.0,69.85
8.666,684.4,965.6,219.2,653.9,123.2,425.4,835.6,603.4,831.6,71.48
8.733,683.7,965.6,218.8,654.3,123.6,425.2,836.2,603.2,830.4,71.75
8.799,684.4,965.2,219.4,654.7,124.1,425.8,835.9,603.2,829.5,72.26
