#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
7.666,706.6,437.0,461.3,556.1,778.5,132.1,893.8,916.2,976.8,993.3
7.733,704.6,437.8,460.6,557.1,776.6,132.1,892.1,914.9,978.3,992.5
7.799,705.3,437.9,461.4,556.7,775.3,131.9,892.8,915.7,978.9,990.5
7.866,705.2,436.7,460.2,555.5,775.3,130.9,893.8,915.9,979.2,990.0
7.933,705.1,436.6,458.3,555.6,775.3,131.3,894.6,914.8,978.0,990.6
7.999,706.1,437.1,459.4,554.1,777.0,131.9,894.9,915.5,977.1,992.2
8.066,705.8,437.9,458.9,554.3,776.0,132.7,893.9,915.3,976.8,991.9
8.133,708.0,438.7,460.2,554.9,775.8,132.7,893.6,914.3,977.4,991.8
8.199,708.7,439.4,460.3,555.5,775.7,132.4,895.6,914.7,977.3,993.1
8.266,707.3,440.3,459.7,556.0,775.4,133.9,894.5,915.0,978.5,993.8
8.333,707.4,439.3,460.5,555.0,774.7,135.2,894.0,913.3,978.8,992.5
8.399,707.6,438.8,460.5,556.6,775.2,136.1,894.2,910.3,978.5,992.6
8.466,708.1,441.6,460.8,555.2,774.8,136.4,894.8,909.8,978.8,992.0
8.533,708.7,442.0,459.5,553.9,774.4,136.6,892.9,912.0,978.6,992.1
8.599,709.1,441.4,459.2,554.1,774.3,136.7,892.4,914.2,979.6,992.4
8.666,708.8,441.4,458.4,553.0,774.5,134.9,891.4,912.3,980.4,992.7
8.733,708.9,441.2,458.7,553.3,774.7,132.5,891.0,911.5,980.2,993.4
8.799,708.3,440.6,458.6,553.4,773.0,133.8,892.7,912.9,979.3,995.0
8.866,709.5,440.6,458.5,553.9,772.7,132.0,895.9,911.9,977.6,996.0
8.933,709.9,441.1,456.9,554.0,772.4,130.6,893.3,910.9,978.0,996.1
8.999,710.6,439.6,459.3,554.1,772.5,130.0,894.5,910.9,978.5,995.3
9.066,710.5,439.0,458.7,553.7,772.0,131.0,893.9,910.6,978.3,994.3
9.133,707.2,437.3,460.3,553.2,773.1,130.9,894.0,908.6,977.9,991.8
9.199,707.2,438.3,461.3,552.6,771.3,128.8,892.7,907.4,976.8,991.4
9.266,706.7,439.4,461.2,553.3,772.9,128.7,892.1,906.5,978.4,993.8
9.333,707.8,437.7,461.2,552.8,773.6,128.7,893.5,907.7,978.2,992.2
