#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,,masa F,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
5.332978E1,8.381543E2,5.895884E2,8.004242E2,7.202836E2,7.624268E2,9.053611E2,1.127956E2,7.071823E2,6.385000E2,2.545000E2,4.073335E2,1.149410E2
5.339644E1,8.391649E2,5.892571E2,7.998246E2,7.186915E2,7.601814E2,9.057442E2,1.135028E2,7.068287E2,6.383992E2,2.548103E2,4.077790E2,1.149410E2
5.346310E1,8.391489E2,5.894783E2,7.982218E2,7.186124E2,7.612563E2,9.076559E2,1.149171E2,7.071823E2,6.381432E2,2.548708E2,4.075592E2,1.143139E2
5.352976E1,8.384156E2,5.893494E2,7.987020E2,7.200947E2,7.620016E2,9.073059E2,1.148903E2,7.076187E2,6.375000E2,2.530000E2,4.055514E2,1.156093E2
5.359643E1,8.410000E2,5.870000E2,7.977934E2,7.213388E2,7.622369E2,9.083520E2,1.152707E2,7.100110E2,6.370000E2,2.525000E2,4.054582E2,1.153907E2
5.366309E1,8.411686E2,5.853330E2,7.968041E2,7.201497E2,7.625146E2,9.092495E2,1.151678E2,7.099351E2,6.374152E2,2.526814E2,4.037694E2,1.153866E2
5.372975E1,8.415000E2,5.855000E2,7.939312E2,7.223398E2,7.625607E2,9.096292E2,1.119880E2,7.114099E2,6.390000E2,2.530000E2,4.066652E2,1.149410E2
5.379641E1,8.410000E2,5.850000E2,7.958956E2,7.231818E2,7.620409E2,9.101780E2,1.106740E2,7.124862E2,6.385865E2,2.528097E2,4.074296E2,1.143159E2
5.386308E1,8.440000E2,5.835000E2,7.956150E2,7.226205E2,7.644279E2,9.124713E2,1.117348E2,7.085967E2,6.385000E2,2.555000E2,4.082706E2,1.132100E2
5.392974E1,8.436151E2,5.837521E2,7.953344E2,7.231818E2,7.647044E2,9.124866E2,1.114020E2,7.059956E2,6.403501E2,2.554598E2,4.092034E2,1.136386E2
5.399640E1,8.454429E2,5.849280E2,7.958956E2,7.243043E2,7.650770E2,9.118761E2,1.110276E2,7.089503E2,6.385000E2,2.540000E2,4.080367E2,1.140010E2
5.406306E1,8.449286E2,5.854095E2,7.950537E2,7.223398E2,7.637721E2,9.115297E2,1.117348E2,7.057680E2,6.390000E2,2.545000E2,4.086700E2,1.160548E2
5.412972E1,8.448384E2,5.837171E2,7.956150E2,7.243043E2,7.636770E2,9.112567E2,1.103204E2,7.029392E2,6.385000E2,2.530000E2,4.077790E2,1.187279E2
5.419639E1,8.415000E2,5.840000E2,7.954140E2,7.241517E2,7.630326E2,9.121377E2,1.099669E2,7.057680E2,6.387598E2,2.528001E2,4.073938E2,1.195153E2
5.426305E1,8.425000E2,5.840000E2,7.938132E2,7.245089E2,7.630567E2,9.115435E2,1.111481E2,7.031290E2,6.415000E2,2.520000E2,4.080000E2,1.192500E2
5.432971E1,8.439713E2,5.838501E2,7.935188E2,7.226145E2,7.631983E2,9.111120E2,1.113812E2,7.025856E2,6.435000E2,2.570000E2,4.096513E2,1.192675E2
5.439637E1,8.445000E2,5.835000E2,7.947731E2,7.229011E2,7.624931E2,9.108141E2,1.110626E2,7.016537E2,6.457400E2,2.573420E2,4.100839E2,1.175052E2
5.446304E1,8.440000E2,5.790000E2,7.943437E2,7.228305E2,7.607298E2,9.115780E2,1.113812E2,7.008177E2,6.453388E2,2.572808E2,4.112500E2,1.152500E2
5.452970E1,8.436040E2,5.798957E2,7.948280E2,7.239192E2,7.603213E2,9.118019E2,1.130565E2,7.029338E2,6.453757E2,2.563756E2,4.090000E2,1.172500E2
5.459636E1,8.436711E2,5.811426E2,7.948989E2,7.251617E2,7.611410E2,9.122747E2,1.118477E2,7.039818E2,6.455579E2,2.554000E2,4.060000E2,1.217500E2
5.466302E1,8.429033E2,5.788592E2,7.947056E2,7.252443E2,7.628108E2,9.127376E2,1.106740E2,7.040000E2,6.453408E2,2.541700E2,4.125000E2,1.172500E2
5.472968E1,8.429016E2,5.801256E2,7.953727E2,7.264880E2,7.620349E2,9.126409E2,1.103204E2,7.054144E2,6.435000E2,2.540000E2,4.118683E2,1.169286E2
5.479635E1,8.406706E2,5.800516E2,7.961763E2,7.276720E2,7.623026E2,9.126616E2,1.103453E2,7.052088E2,6.432310E2,2.545914E2,4.119192E2,1.183627E2
5.486301E1,8.391248E2,5.797453E2,7.966630E2,7.301994E2,7.626328E2,9.135258E2,1.102256E2,7.041025E2,6.422437E2,2.559405E2,4.130000E2,1.152500E2
5.492967E1,8.398469E2,5.786309E2,7.951025E2,7.295510E2,7.625427E2,9.124674E2,1.083920E2,7.024791E2,6.445000E2,2.540000E2,4.112500E2,1.165000E2
5.499633E1,8.403223E2,5.789822E2,7.933699E2,7.290752E2,7.619312E2,9.128327E2,1.071381E2,7.047072E2,6.440000E2,2.530000E2,4.102500E2,1.192500E2
5.506300E1,8.420000E2,5.840000E2,7.928607E2,7.300345E2,7.612438E2,9.145340E2,1.074917E2,7.036464E2,6.462626E2,2.516596E2,4.105000E2,1.180000E2
5.512966E1,8.412435E2,5.850559E2,7.932665E2,7.296205E2,7.621495E2,9.146982E2,1.083161E2,7.016891E2,6.500000E2,2.540000E2,4.075000E2,1.145000E2
5.519632E1,8.410790E2,5.849176E2,7.953743E2,7.312988E2,7.623457E2,9.146232E2,1.086758E2,7.014899E2,6.445000E2,2.545000E2,4.067500E2,1.165000E2
5.526298E1,8.405656E2,5.855858E2,7.964580E2,7.299207E2,7.631059E2,9.137871E2,1.092597E2,6.994033E2,6.480000E2,2.515000E2,4.050000E2,1.190000E2
5.532964E1,8.408355E2,5.850134E2,7.972988E2,7.290752E2,7.624166E2,9.126100E2,1.060773E2,6.937459E2,6.495000E2,2.545000E2,4.052500E2,1.202500E2
5.539631E1,8.421561E2,5.853059E2,7.982312E2,7.293274E2,7.636872E2,9.122405E2,1.057238E2,6.930387E2,6.490000E2,2.505000E2,4.097500E2,1.212500E2
5.546297E1,8.431533E2,5.852594E2,7.979851E2,7.286320E2,7.649891E2,9.113826E2,1.067845E2,6.926851E2,6.481920E2,2.478779E2,4.092500E2,1.222500E2
5.552963E1,8.442912E2,5.841870E2,7.984214E2,7.279526E2,7.654183E2,9.113792E2,1.050166E2,6.926851E2,6.455000E2,2.475000E2,4.100000E2,1.245000E2
5.559629E1,8.435000E2,5.780000E2,7.979648E2,7.281083E2,7.646012E2,9.128687E2,1.048703E2,6.930601E2,6.480000E2,2.500000E2,4.089637E2,1.262903E2
5.566296E1,8.428197E2,5.780363E2,7.981844E2,7.273877E2,7.650453E2,9.126339E2,1.043532E2,6.936618E2,6.500939E2,2.490494E2,4.083638E2,1.276464E2
5.572962E1,8.438774E2,5.782932E2,7.988271E2,7.278912E2,7.654914E2,9.121181E2,1.050166E2,6.951602E2,6.493724E2,2.490724E2,4.059766E2,1.280909E2
