#multi:
,masa A,,masa B,,masa C,,masa D,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
7.133,553.2,588.7,595.7,806.1,286.3,879.5,1.067E3,457.8
7.200,554.3,589.4,595.2,805.5,286.2,880.5,1.066E3,457.6
7.266,556.1,587.8,595.1,805.1,286.1,880.3,1.068E3,460.9
7.333,556.3,588.0,592.3,805.6,286.0,880.2,1.066E3,460.9
7.400,557.4,589.6,591.8,806.9,285.2,880.4,1.066E3,460.2
7.466,556.6,590.5,590.9,806.6,285.1,880.4,1.068E3,460.3
7.533,554.8,589.5,588.4,804.9,284.7,880.1,1.067E3,461.2
7.599,553.9,588.3,588.0,805.0,285.3,880.8,1.066E3,461.1
7.666,554.9,586.5,588.9,805.2,286.8,877.7,1.066E3,461.5
7.733,556.0,585.1,589.0,805.1,287.3,875.6,1.066E3,460.7
7.799,556.5,583.1,588.7,803.1,288.6,874.7,1.066E3,461.3
7.866,557.7,584.3,588.8,803.2,288.7,874.1,1.066E3,461.8
7.933,557.7,584.8,589.1,802.1,289.0,874.4,1.065E3,462.0
7.999,558.1,585.4,586.4,801.5,289.9,874.0,1.065E3,463.6
8.066,560.3,585.7,586.2,802.6,290.6,874.2,1.065E3,463.5
8.133,559.8,584.0,586.4,802.6,290.8,874.2,1.066E3,463.9
8.199,559.9,584.3,586.7,802.9,291.1,874.9,1.066E3,463.8
8.266,557.7,585.4,587.3,803.4,290.5,874.6,1.066E3,461.4
8.333,556.7,586.5,588.4,803.3,291.2,874.6,1.065E3,462.4
8.399,555.3,585.8,588.7,804.6,291.6,874.9,1.066E3,463.2
8.466,557.3,586.5,587.9,804.0,292.2,874.6,1.066E3,463.2
8.533,557.6,584.9,590.8,803.3,291.8,874.3,1.067E3,463.7
8.599,559.1,585.3,591.1,803.8,293.3,874.1,1.067E3,463.4
8.666,559.1,585.5,593.4,804.5,294.3,873.8,1.069E3,462.1
8.733,560.2,584.2,594.1,804.5,294.1,873.6,1.067E3,462.4
8.799,561.7,585.0,593.8,804.7,294.2,875.0,1.067E3,462.3
8.866,561.2,584.6,592.2,804.7,294.2,873.9,1.066E3,463.3
8.933,561.7,584.5,591.1,805.3,294.6,873.4,1.066E3,463.2
8.999,562.3,585.4,589.0,805.0,296.1,873.4,1.067E3,462.2
9.066,562.7,586.4,589.6,804.3,295.8,874.2,1.066E3,460.5
9.133,563.8,586.2,589.6,803.8,294.8,873.8,1.066E3,460.2
9.199,562.8,587.4,592.2,803.9,294.2,871.9,1.065E3,461.5
9.266,562.1,588.3,592.5,805.2,294.4,872.4,1.066E3,461.1
9.333,563.5,587.0,593.4,804.4,295.0,873.6,1.065E3,462.8
9.399,564.0,586.8,591.5,805.0,296.3,873.2,1.065E3,465.2
9.466,564.4,586.5,593.1,805.3,296.1,872.2,1.065E3,465.5
9.533,565.1,585.7,592.1,804.4,295.1,872.9,1.065E3,465.7
9.599,565.8,585.7,593.3,803.1,296.1,872.7,1.065E3,465.1
9.666,563.5,585.7,593.6,802.7,295.9,872.5,1.066E3,466.2
9.733,562.2,584.7,593.5,803.8,295.8,872.7,1.065E3,466.0
9.799,561.2,584.0,594.1,803.6,296.0,870.7,1.066E3,467.8
9.866,563.1,583.5,592.7,801.8,296.1,872.1,1.067E3,468.5
9.933,563.2,584.0,592.3,802.8,296.6,874.1,1.066E3,469.5
9.999,562.2,582.5,591.5,803.8,297.4,872.6,1.064E3,467.7
10.066,562.8,582.7,592.4,803.0,295.9,872.4,1.065E3,466.4
10.133,562.8,582.6,593.0,802.5,296.8,872.7,1.066E3,466.7
10.199,562.1,581.7,590.9,801.6,297.3,872.4,1.066E3,466.8
10.266,565.0,581.9,591.0,802.4,296.3,871.8,1.064E3,467.0
10.333,566.2,582.4,590.2,802.6,294.7,872.6,1.064E3,467.9
10.399,568.6,580.2,591.0,803.3,296.1,870.4,1.063E3,466.4
10.466,569.0,580.3,591.8,801.1,296.2,871.1,1.063E3,466.0
10.533,568.9,580.5,591.4,801.4,295.9,871.0,1.061E3,464.9
10.599,567.6,581.2,590.0,798.2,294.7,871.6,1.059E3,464.2
10.666,566.9,581.7,590.3,794.7,295.0,871.0,1.059E3,464.4
10.733,567.5,580.8,589.7,794.6,294.9,871.3,1.059E3,464.6
10.799,567.1,582.5,590.2,795.3,293.7,871.3,1.060E3,463.4
10.866,567.4,582.9,591.5,795.1,294.3,871.6,1.060E3,465.1
10.933,567.5,583.8,591.5,796.3,293.6,871.4,1.058E3,465.6
10.999,566.8,583.6,592.9,797.3,293.7,871.1,1.057E3,464.0
11.066,566.1,582.8,593.2,797.0,293.1,870.8,1.056E3,463.0
11.133,565.2,583.5,592.7,797.2,292.7,871.2,1.054E3,463.0
11.199,563.9,581.3,591.5,797.6,292.2,872.0,1.054E3,462.8
11.266,563.0,581.6,592.0,799.6,291.8,872.3,1.054E3,464.0
11.333,562.7,583.4,592.1,800.3,292.7,872.2,1.056E3,462.7
11.399,562.4,581.9,592.4,799.7,292.3,871.8,1.057E3,461.4
11.466,563.4,581.8,592.2,800.5,291.1,872.1,1.057E3,461.4
11.533,563.5,583.4,593.4,800.5,291.2,872.6,1.058E3,464.2
11.599,562.2,583.3,594.8,801.4,290.9,873.0,1.057E3,463.7
11.666,565.5,582.6,594.9,801.5,291.1,871.3,1.058E3,463.9
11.733,565.9,581.7,596.2,802.8,290.8,872.2,1.061E3,463.5
11.799,567.2,582.4,596.0,802.7,291.2,872.5,1.061E3,462.5
11.866,569.0,582.6,597.1,803.9,290.2,871.7,1.061E3,462.1
11.933,569.8,583.2,597.1,803.7,289.6,871.4,1.061E3,462.3
11.999,567.6,582.9,597.1,803.8,290.8,871.9,1.060E3,461.1
12.066,567.6,583.4,595.8,803.4,292.5,869.8,1.061E3,462.1
12.133,568.1,583.3,596.1,803.2,293.6,868.9,1.060E3,464.1
12.199,568.5,585.3,596.6,802.4,294.1,869.0,1.060E3,464.5
12.266,569.3,584.9,595.9,803.1,294.2,868.3,1.060E3,465.2
12.333,568.1,583.8,597.3,804.0,294.0,868.5,1.060E3,464.1
12.399,569.1,583.7,597.2,805.3,294.1,867.1,1.060E3,464.8
12.466,570.1,583.9,598.8,806.6,294.1,868.7,1.060E3,463.7
12.532,568.7,583.2,600.0,805.4,293.4,869.3,1.061E3,463.9
12.599,569.0,582.5,599.7,804.8,293.1,869.7,1.062E3,462.4
12.666,569.6,582.4,601.6,806.6,293.1,869.7,1.062E3,462.7
12.732,567.7,582.4,603.1,807.4,292.6,870.1,1.061E3,460.6
12.799,568.2,582.6,602.0,806.1,292.9,871.0,1.062E3,459.3
12.866,568.9,583.7,601.7,807.6,292.9,870.4,1.062E3,460.3
12.932,569.3,582.2,601.2,810.1,294.0,870.7,1.062E3,459.9
12.999,569.0,581.3,601.1,810.2,293.9,871.3,1.063E3,460.5
13.066,569.1,582.5,600.4,810.2,294.7,872.4,1.064E3,459.3
13.132,569.5,582.3,598.6,811.1,294.9,872.6,1.062E3,457.7
13.199,568.6,581.0,598.4,809.7,294.5,871.9,1.063E3,459.7
13.266,568.5,580.9,598.3,811.6,294.7,871.4,1.063E3,459.9
13.332,568.5,579.8,598.6,810.9,294.1,872.7,1.064E3,459.4
13.399,567.5,580.6,598.1,810.9,294.0,873.0,1.064E3,460.3
13.466,566.1,579.7,597.8,811.4,293.8,873.2,1.064E3,459.3
13.532,565.5,578.3,598.0,810.7,294.4,872.4,1.064E3,460.4
13.599,564.2,577.6,598.0,811.7,294.1,871.0,1.062E3,459.3
13.666,563.4,577.4,598.7,810.8,294.2,869.8,1.062E3,458.9
13.732,563.9,578.3,599.5,813.3,292.8,870.1,1.062E3,458.0
13.799,563.7,578.0,599.5,813.4,292.2,870.6,1.062E3,455.7
13.866,563.7,576.7,600.3,813.7,293.2,871.2,1.064E3,455.4
13.932,563.3,576.2,600.1,814.3,293.1,870.7,1.064E3,454.8
13.999,563.6,576.5,601.5,814.0,293.9,870.0,1.066E3,453.1
14.066,564.5,575.7,602.3,814.0,294.1,869.2,1.066E3,452.8
14.132,564.9,575.5,604.2,813.8,295.3,868.7,1.064E3,452.9
14.199,564.9,575.2,602.2,815.1,294.5,869.8,1.064E3,452.3
14.266,565.0,576.5,603.3,814.8,293.6,869.3,1.064E3,452.2
14.332,562.5,577.6,603.5,815.1,293.8,869.9,1.064E3,453.6
14.399,562.5,579.5,603.0,813.9,293.9,869.5,1.063E3,453.5
14.466,561.8,580.6,601.4,813.6,294.9,867.8,1.062E3,454.3
14.532,561.1,580.7,602.4,813.9,294.8,867.5,1.063E3,455.1
14.599,559.9,580.5,600.9,814.9,295.7,866.5,1.063E3,454.8
14.666,558.9,581.0,600.4,814.5,296.2,864.7,1.062E3,455.9
14.732,558.2,579.9,599.6,813.7,297.0,862.8,1.062E3,455.1
14.799,557.3,579.0,598.4,813.8,297.8,861.8,1.063E3,456.2
14.866,557.3,576.6,598.7,813.8,298.2,861.1,1.063E3,456.6
14.932,558.7,575.6,598.0,814.4,298.4,861.8,1.062E3,456.6
14.999,559.0,575.8,598.3,814.7,297.2,863.8,1.062E3,456.9
15.066,558.9,578.1,596.4,815.1,296.4,863.7,1.063E3,457.3
15.132,558.7,578.8,595.6,813.7,295.2,864.0,1.065E3,457.4
15.199,557.7,579.2,596.3,815.0,295.1,863.4,1.065E3,458.4
15.266,557.6,580.2,596.4,814.8,296.1,863.2,1.066E3,458.3
15.332,555.7,580.3,597.7,814.8,294.9,863.8,1.065E3,458.2
15.399,555.1,579.8,597.7,815.3,295.4,863.4,1.067E3,458.7
15.466,553.5,580.9,597.2,816.2,294.8,864.2,1.067E3,458.2
15.532,552.7,580.8,599.2,816.6,294.3,865.2,1.068E3,459.8
15.599,552.4,580.2,597.4,817.0,293.9,865.3,1.069E3,457.9
15.666,550.5,581.0,598.1,817.9,294.2,865.0,1.069E3,458.1
15.732,551.5,580.6,597.3,818.1,293.9,865.3,1.068E3,457.1
15.799,549.8,580.9,596.7,819.3,293.8,865.2,1.068E3,456.7
15.866,549.6,580.6,596.4,818.9,293.3,865.4,1.067E3,459.1
15.932,548.5,579.7,598.2,817.5,292.8,865.6,1.067E3,460.1
